$Base,$ForwardIterator,$AbstractIterator,$BackwardIterator,$MemorySize,$QuickSort,$InsertionSort,$BubbleSort,$ElementA,$ElementB,$ElementC,$AbstractElement,$MergeSort,$Measurement,$print,$Performance,$AbstractSort,$TCP_IP,$<BinarySize,$<obj2
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4426.0,5
1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4869.0,6
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4432.0,5
1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4875.0,6
1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4432.0,5
1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4875.0,6
1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4426.0,5
1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4869.0,6
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4550.0,5
1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4993.0,6
1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4556.0,5
1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4999.0,6
1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,5165.0,7
1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,5577.0,8
1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,5171.0,7
1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,5583.0,8
1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,5171.0,7
1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,5583.0,8
1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,5165.0,7
1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,5577.0,8
1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5289.0,7
1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,5701.0,8
1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,5295.0,7
1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,5707.0,8
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,4991.0,7
1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,5403.0,8
1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,4997.0,7
1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,5409.0,8
1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,5121.0,7
1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5533.0,8
1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,5115.0,7
1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5527.0,8
1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4991.0,7
1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,5403.0,8
1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4997.0,7
1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,5409.0,8
1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,5215.0,7
1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,5627.0,8
1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,5209.0,7
1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,5621.0,8
1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,5209.0,7
1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,5621.0,8
1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,5215.0,7
1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,5627.0,8
1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,5339.0,7
1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5751.0,8
1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,5333.0,7
1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5745.0,8
1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,5432.0,7
1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,5838.0,8
1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,5438.0,7
1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,5844.0,8
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,5314.0,7
1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,5720.0,8
1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,5308.0,7
1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,5714.0,8
1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,5308.0,7
1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,5714.0,8
1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,5314.0,7
1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,5720.0,8
1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,9683.0,10
1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,9950.0,11
1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,9689.0,10
1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,9956.0,11
1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,9671.0,10
1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,9938.0,11
1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,9677.0,10
1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,9944.0,11
1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,10044.0,11
1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,10311.0,12
1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,10038.0,11
1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,10305.0,12
1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,9807.0,10
1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,10074.0,11
