Datasets,ela_distr.skewnessmedian,ela_distr.kurtosismedian,ela_distr.number_of_peaksmedian,ela_distr.costs_fun_evalsmedian,ela_distr.costs_runtimemedian,ela_meta.lin_simple.adj_r2median,ela_meta.lin_simple.interceptmedian,ela_meta.lin_simple.coef.minmedian,ela_meta.lin_simple.coef.maxmedian,ela_meta.lin_simple.coef.max_by_minmedian,ela_meta.lin_w_interact.adj_r2median,ela_meta.quad_simple.adj_r2median,ela_meta.quad_simple.condmedian,ela_meta.quad_w_interact.adj_r2median,ela_meta.costs_fun_evalsmedian,ela_meta.costs_runtimemedian,nbc.nn_nb.sd_ratiomedian,nbc.nn_nb.mean_ratiomedian,nbc.nn_nb.cormedian,nbc.dist_ratio.coeff_varmedian,nbc.nb_fitness.cormedian,nbc.costs_fun_evalsmedian,nbc.costs_runtimemedian,ic.h.maxmedian,ic.eps.smedian,ic.eps.maxmedian,ic.eps.ratiomedian,ic.m0median,ic.costs_fun_evalsmedian,ic.costs_runtimemedian,no_decisionsmedian,IDem_Decision,IDem_Objective
MONRP_50_5_5_0_100-p1000-d50-o3-dataset,-0.343,-0.066,1.0,0.0,0.002,7.706,3483.241,0.532,48.787,99.634,1.0,1.0,NA,1.0,0.0,0.572,0.58,0.95,0.458,0.066,-0.616,0.0,0.018,0.859,1.777,15.0,1.206,0.658,0.0,0.167,50.0,16.405,0.31
MONRP_50_5_5_0_120-p10000-d50-o3-dataset,-0.277,-0.039,1.0,0.0,0.002,9.029,3760.31,0.419,62.034,151.062,1.0,1.0,NA,1.0,0.0,0.55,0.585,0.941,0.582,0.066,-0.553,0.0,0.019,0.874,1.857,15.0,1.306,0.679,0.0,0.163,50.0,13.377,0.302
MONRP_50_5_5_0_90-p1000-d50-o3-dataset,-0.22,-0.054,1.0,0.0,0.002,8.625,3753.525,0.661,60.748,107.128,1.0,1.0,NA,1.0,0.0,0.552,0.586,0.955,0.465,0.06,-0.639,0.0,0.016,0.877,1.847,15.0,1.296,0.638,0.0,0.164,50.0,15.313,0.331
MONRP_50_5_5_5_120-p10000-d50-o3-dataset,-0.207,0.102,1.0,0.0,0.002,8.763,6122.227,0.538,101.508,186.549,1.0,1.0,NA,1.0,0.0,0.534,0.54,0.941,0.553,0.07,-0.515,0.0,0.021,0.882,2.067,15.0,1.476,0.663,0.0,0.164,50.0,13.712,0.284
NRP_50_5_5_0_100-p10-d50-o1-dataset,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.166,0.701
NRP_50_5_5_0_100-p1000-d50-o1-dataset,-0.029,-1.042,6.0,0.0,0.002,1.0,0.0,0.0,1.0,1.2893015e+18,1.0,1.0,NA,1.0,0.0,0.532,0.815,0.959,0.579,0.051,-0.589,0.0,0.016,0.866,-0.425,15.0,-0.866,0.541,0.0,0.164,50.0,15.344,0.295
NRP_50_5_5_0_110-p1000-d50-o1-dataset,-0.377,-0.012,1.0,0.0,0.001,8.372,4407.833,0.973,67.516,66.342,1.0,1.0,NA,1.0,0.0,0.526,0.534,0.944,0.512,0.067,-0.577,0.0,0.017,0.891,1.867,15.0,1.316,0.673,0.0,0.154,50.0,14.403,0.314
NRP_50_5_5_0_120-p1000-d50-o1-dataset,-0.232,-0.335,1.0,0.0,0.002,9.046,3888.117,0.546,67.617,106.346,1.0,1.0,NA,1.0,0.0,0.528,0.577,0.937,0.56,0.069,-0.552,0.0,0.018,0.89,1.837,15.0,1.306,0.638,0.0,0.155,50.0,14.614,0.319
NRP_50_5_5_0_90-p1000-d50-o1-dataset,-0.231,-0.138,1.0,0.0,0.002,6.738,2835.077,0.472,51.24,109.476,1.0,1.0,NA,1.0,0.0,0.537,0.555,0.953,0.505,0.06,-0.606,0.0,0.016,0.881,1.787,15.0,1.236,0.653,0.0,0.159,50.0,15.877,0.338
NRP_50_5_5_5_100-p1000-d50-o1-dataset,-0.265,-0.022,1.0,0.0,0.002,6.905,2840.237,0.491,49.053,109.275,1.0,1.0,NA,1.0,0.0,0.536,0.547,0.951,0.556,0.061,-0.591,0.0,0.017,0.888,1.737,15.0,1.206,0.694,0.0,0.155,50.0,14.412,0.324
NRP_50_5_5_5_110-p1000-d50-o1-dataset,-0.343,0.057,1.0,0.0,0.002,9.043,3383.649,0.772,56.457,72.882,1.0,1.0,NA,1.0,0.0,0.569,0.602,0.948,0.532,0.064,-0.564,0.0,0.017,0.887,1.837,15.0,1.246,0.653,0.0,0.18,50.0,15.159,0.264
