$<obj,$heuristic,$transExt,$transExtDynamic,$heuristicVmtf,$eq3,$eq2,$eq5,$eq4,$heuristicUnit,$eq1,$transExtAll,$heuristicBerkmin,$transExtWeight,$transExtChoice,$eqFixpoint,$backprop,$heuristicVsids,$eq,$satPreproYes
19323.5787061,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
19719.4815501,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1
15185.9775131,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
16147.7695468,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0
17484.4388396,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
18143.7728581,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
14663.9935191,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
15128.1933343,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
15230.6387911,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
15855.824324,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
11112.5510184,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
11806.0335225,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
42081.1051702,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
40559.8144664,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1
61935.2542775,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
58369.9327937,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
21049.0042411,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
20688.7620472,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
17501.6840132,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
17785.3846903,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
38952.5673972,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
38104.489695,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
31634.2786899,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
29747.1113548,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
36508.5115004,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36943.4411851,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
28219.4301315,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30034.9343048,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
29976.3940438,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
29786.8942777,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
26390.0469752,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24678.5004232,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
84765.1999856,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
83795.1634063,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
116366.428134,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
112079.110098,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
45522.1995301,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44942.4313574,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
40325.995284,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40521.8855696,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19386.9973221,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
19817.0486517,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1
15385.9900715,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
16298.9985543,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
17616.1544269,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
18290.1235106,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
14610.3316132,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
15006.2344572,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
15289.1790521,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
15821.6758384,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1
11132.0644388,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
11757.2499717,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
41793.2822203,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
41120.825301,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1
61705.9715885,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
57862.5838651,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
20814.8431971,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
20698.5187573,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
17438.2653971,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
17936.6136979,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
19347.9704815,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
19607.2793831,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1
15346.9632308,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
16264.8500688,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0
