$<obj,$disableCompressibilityTesting,$compression,$level,$encryption,$compressionGzip,$unlimitedWindowSize,$compressionBzip2,$level1,$level2,$level3,$level4,$compressionLrzip,$level6,$level7,$level8,$level9,$compressionLzo,$compressionZpaq,$level5
76196.7949472,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
76762.1424511,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
103497.608279,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
123934.008693,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
124229.448357,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
140303.554483,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
387447.951351,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
430334.118774,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
301748.564571,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
75996.1877684,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
77772.4731515,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81354.2231438,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85669.1011894,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
86343.8707908,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90800.9975633,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
93915.8799394,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
96086.0848736,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
97016.1727026,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27894.2336973,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29313.0735619,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31986.6201447,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33956.2179001,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38697.8421261,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46853.4357948,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53404.1720332,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68562.7799434,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72352.4319209,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18429.2222616,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18462.0488908,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16594.5784264,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17528.3136586,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18184.8462438,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18392.7482291,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19355.6626873,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19508.8536238,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18786.6677801,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
245578.55451,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
247909.245187,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
245888.583786,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
827105.939199,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
826259.741645,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
826230.562419,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
829826.902024,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2103066.0762,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2100578.54719,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
