$<obj,$XEP0092,$ContactListSource,$Composing,$XEP0085,$SendVersion,$Base,$ServerRoster,$ThemeSelection,$Timestamps,$SendComposing,$History
91572.0035629,0,1,0,0,0,1,1,0,0,0,0
95128.6631003,0,1,1,1,0,1,1,0,0,0,0
96874.749567,0,1,1,1,0,1,1,0,0,1,0
92264.5894892,0,1,0,0,0,1,1,0,0,0,1
91902.674875,0,1,0,0,0,1,1,0,1,0,0
91572.3455363,1,1,0,0,0,1,1,0,0,0,0
92292.5685786,1,1,0,0,1,1,1,0,0,0,0
99157.4178221,0,1,0,0,0,1,1,1,0,0,0
92561.7014462,0,1,0,0,0,1,1,0,1,0,1
99484.1409748,0,1,0,0,0,1,1,1,1,0,0
99840.1333498,0,1,0,0,0,1,1,1,0,0,1
100143.167546,0,1,0,0,0,1,1,1,1,0,1
91903.0168485,1,1,0,0,0,1,1,0,1,0,0
92264.9314626,1,1,0,0,0,1,1,0,0,0,1
92562.0434196,1,1,0,0,0,1,1,0,1,0,1
99157.7597955,1,1,0,0,0,1,1,1,0,0,0
99840.4753232,1,1,0,0,0,1,1,1,0,0,1
99484.4829482,1,1,0,0,0,1,1,1,1,0,0
100143.509519,1,1,0,0,0,1,1,1,1,0,1
92621.9238376,1,1,0,0,1,1,1,0,1,0,0
99876.0087581,1,1,0,0,1,1,1,1,0,0,0
100205.364017,1,1,0,0,1,1,1,1,1,0,0
92981.864372,1,1,0,0,1,1,1,0,0,0,1
100565.304552,1,1,0,0,1,1,1,1,0,0,1
93280.9504088,1,1,0,0,1,1,1,0,1,0,1
100864.390588,1,1,0,0,1,1,1,1,1,0,1
95457.3603327,0,1,1,1,0,1,1,0,1,0,0
95819.2749469,0,1,1,1,0,1,1,0,0,0,1
96116.3869039,0,1,1,1,0,1,1,0,1,0,1
102708.15512,0,1,1,1,0,1,1,1,0,0,0
103394.818807,0,1,1,1,0,1,1,1,0,0,1
103038.826432,0,1,1,1,0,1,1,1,1,0,0
103697.853004,0,1,1,1,0,1,1,1,1,0,1
97206.0789057,0,1,1,1,0,1,1,0,1,1,0
104462.137906,0,1,1,1,0,1,1,1,0,1,0
104787.545005,0,1,1,1,0,1,1,1,1,1,0
97567.9935199,0,1,1,1,0,1,1,0,0,1,1
105143.53738,0,1,1,1,0,1,1,1,0,1,1
97865.1054769,0,1,1,1,0,1,1,0,1,1,1
105446.571577,0,1,1,1,0,1,1,1,1,1,1
95129.0050737,1,1,1,1,0,1,1,0,0,0,0
102708.497094,1,1,1,1,0,1,1,1,0,0,0
95457.7023062,1,1,1,1,0,1,1,0,1,0,0
103039.168406,1,1,1,1,0,1,1,1,1,0,0
95819.6169203,1,1,1,1,0,1,1,0,0,0,1
96116.7288773,1,1,1,1,0,1,1,0,1,0,1
103395.160781,1,1,1,1,0,1,1,1,0,0,1
103698.194977,1,1,1,1,0,1,1,1,1,0,1
96875.0915404,1,1,1,1,0,1,1,0,0,1,0
104462.479879,1,1,1,1,0,1,1,1,0,1,0
97568.3354933,1,1,1,1,0,1,1,0,0,1,1
105143.879354,1,1,1,1,0,1,1,1,0,1,1
97206.4208792,1,1,1,1,0,1,1,0,1,1,0
97865.4474503,1,1,1,1,0,1,1,0,1,1,1
104787.886979,1,1,1,1,0,1,1,1,1,1,0
105446.91355,1,1,1,1,0,1,1,1,1,1,1
95847.2540363,1,1,1,1,1,1,1,0,0,0,0
103430.694216,1,1,1,1,1,1,1,1,0,0,0
96176.6092953,1,1,1,1,1,1,1,0,1,0,0
103760.049475,1,1,1,1,1,1,1,1,1,0,0
97595.9726093,1,1,1,1,1,1,1,0,0,1,0
97925.3278683,1,1,1,1,1,1,1,0,1,1,0
105179.412789,1,1,1,1,1,1,1,1,0,1,0
105508.768048,1,1,1,1,1,1,1,1,1,1,0
96536.5498297,1,1,1,1,1,1,1,0,0,0,1
104119.990009,1,1,1,1,1,1,1,1,0,0,1
98285.2684027,1,1,1,1,1,1,1,0,0,1,1
105868.708582,1,1,1,1,1,1,1,1,0,1,1
96835.6358665,1,1,1,1,1,1,1,0,1,0,1
98584.3544395,1,1,1,1,1,1,1,0,1,1,1
104419.076046,1,1,1,1,1,1,1,1,1,0,1
106167.794619,1,1,1,1,1,1,1,1,1,1,1
