$<obj,$AccessLog,$Handle,$InMemory,$FollowSymLinks,$Base,$KeepAlive,$HostnameLookups,$EnableSendfile,$ExtendedStatus
754.99873939,0,0,0,0,1,0,0,0,0
1321.71172352,0,0,0,1,1,1,0,0,0
1454.51384011,0,0,1,0,1,1,0,1,1
793.843550187,1,0,1,0,1,0,0,1,0
718.751934285,1,0,1,0,1,0,0,1,1
1322.45401086,1,0,1,0,1,1,0,1,0
1247.36239496,1,0,1,0,1,1,0,1,1
699.515100722,0,0,1,0,1,0,1,1,0
1360.18539065,0,0,1,0,1,1,1,1,0
624.42348482,1,0,1,0,1,0,1,1,0
1190.76532528,1,0,1,0,1,1,1,1,0
643.289174713,0,0,1,0,1,0,1,1,1
642.546887372,1,0,0,1,1,0,0,0,0
605.928938597,1,0,1,0,1,0,1,1,1
1360.55653432,0,0,1,0,1,1,1,1,1
1172.27077906,1,0,1,0,1,1,1,1,1
925.903379438,0,0,1,1,1,0,0,1,0
1662.03642893,0,0,1,1,1,1,0,1,0
869.677453429,0,0,1,1,1,0,0,1,1
1530.34774335,0,0,1,1,1,1,0,1,1
718.751934285,0,0,1,1,1,0,1,1,0
681.391698169,0,0,1,1,1,0,1,1,1
1473.75067367,0,0,1,1,1,1,1,1,0
1152.29165815,1,0,0,1,1,1,0,0,0
1379.79336788,0,0,1,1,1,1,1,1,1
794.214693857,1,0,1,1,1,0,0,1,0
1379.42222421,1,0,1,1,1,1,0,1,0
643.660318383,1,0,1,1,1,0,1,1,0
1323.1962982,1,0,1,1,1,1,1,1,0
775.720147634,1,0,1,1,1,0,0,1,1
625.16577216,1,0,1,1,1,0,1,1,1
1304.33060831,1,0,1,1,1,1,0,1,1
1172.64192273,1,0,1,1,1,1,1,1,1
774.235572953,0,1,0,0,1,0,0,0,0
718.009646944,0,0,0,1,1,0,0,0,1
680.278267158,0,1,0,0,1,0,0,0,1
661.412577265,1,1,0,0,1,0,0,0,0
680.649410829,1,1,0,0,1,0,0,0,1
793.472406516,0,1,0,1,1,0,0,0,0
756.112170401,1,1,0,1,1,0,0,0,0
756.112170401,0,1,0,1,1,0,0,0,1
662.154864606,1,1,0,1,1,0,0,0,1
755.74102673,0,1,0,0,1,0,0,1,0
718.380790615,0,1,0,0,1,0,0,1,1
756.112170401,0,1,0,1,1,0,0,1,0
624.05234115,1,0,0,1,1,0,0,0,1
775.349003964,0,1,0,1,1,0,0,1,1
699.515100722,1,1,0,0,1,0,0,1,0
718.751934285,1,1,0,1,1,0,0,1,0
662.154864606,1,1,0,0,1,0,0,1,1
700.257388062,1,1,0,1,1,0,0,1,1
755.74102673,0,1,0,0,1,1,0,0,0
850.440619866,0,1,0,0,1,1,0,0,1
774.977860294,1,1,0,0,1,1,0,0,0
794.214693857,1,1,0,0,1,1,0,0,1
812.70924008,0,1,0,0,1,1,0,1,0
1227.75441773,0,0,0,1,1,1,0,0,1
643.289174713,1,1,0,0,1,1,0,1,0
831.946073643,0,1,0,0,1,1,0,1,1
775.720147634,1,1,0,0,1,1,0,1,1
869.306309759,0,1,0,1,1,1,0,0,0
699.886244392,0,1,0,1,1,1,0,0,1
756.483314071,0,1,0,1,1,1,0,1,0
700.257388062,0,1,0,1,1,1,0,1,1
850.811763536,1,1,0,1,1,1,0,0,0
756.854457741,1,1,0,1,1,1,0,1,0
775.720147634,1,1,0,1,1,1,0,0,1
1096.06573214,1,0,0,1,1,1,0,0,1
738.359911518,1,1,0,1,1,1,0,1,1
623.681197479,0,1,0,0,1,0,1,0,0
605.186651257,0,1,0,0,1,0,1,0,1
586.320961364,1,1,0,0,1,0,1,0,0
548.960725248,1,1,0,0,1,0,1,0,1
642.918031043,0,1,0,1,1,0,1,0,0
586.692105034,1,1,0,1,1,0,1,0,0
