$<obj,$ DerivativeCompressCRC,$ DerivativeExtractCRC,$ Compress,$ Extract,$ DerivativeGZIPCRC,$ ZipMeTest,$Base,$ Adaptation,$ CRC,$ ArchiveCheck,$ GZIP,$ Adler32Checksum,$ DerivativeCompressGZIP,$ DerivativeCompressAdler32Checksum,$ Check,$ DerivativeCompressGZIPCRC
42965.4235737,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
43848.4434127,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
43126.5457572,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
46097.1626965,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
43104.441348,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
44278.1315616,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
46739.2688262,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
44417.1493359,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
44439.2537451,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
43265.5635315,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
44578.2715194,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
46236.1804708,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
46258.2848799,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
46397.3026542,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
47409.8706843,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
47570.9928678,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
47548.8884587,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
47710.0106421,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
46878.2866005,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
48051.976814,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
48190.9945884,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
46895.5388223,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
48208.2468101,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
47034.5565966,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
48347.2645845,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
49871.0079489,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
50010.0257232,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
50027.277945,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
50166.2957193,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
51183.7159368,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
51339.9859329,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0
