$<obj,$no_mixed_refs,$rc_lookahead_40,$no_cabac,$no_8x8dct,$no_asm,$rc_lookahead,$ref_1,$no_fast_pskip,$no_weightb,$rc_lookahead_20,$ref_5,$no_mbtree,$ref_9,$no_deblock,$ref,$rc_lookahead_60
147.659434338,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
157.133449046,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
254.170997361,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
350.359455256,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
142.278909236,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
147.855932665,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0
151.787962126,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
166.566314399,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
148.222542175,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
148.173154365,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0
148.87893333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
150.896235401,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
149.589357976,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
243.675034899,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
336.148009883,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0
151.064240761,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0
154.869001636,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0
171.387324434,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0
151.447946052,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
151.408055898,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0
152.205012356,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
152.923035128,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
155.312645303,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
251.10600072,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
346.042667593,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
159.965443686,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0
176.761098031,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0
