$<obj,$HAVE_SEQUENCE,$HAVE_QUEUE,$HAVE_CRYPTO,$HAVE_REPLICATION,$HAVE_STATISTICS,$HAVE_HASH,$HAVE_VERIFY,$DIAGNOSTIC
474847.727331,0,0,0,0,0,0,0,0
549996.587074,0,0,0,0,1,0,0,0
480214.531513,1,0,0,0,0,0,0,0
557366.119131,1,0,0,0,1,0,0,0
488219.121936,0,0,0,0,0,0,1,0
493585.926118,1,0,0,0,0,0,1,0
563349.545205,0,0,0,0,1,0,1,0
570719.077261,1,0,0,0,1,0,1,0
498395.529042,0,0,0,1,0,0,0,0
584217.527187,0,0,0,1,1,0,0,0
511766.923647,0,0,0,1,0,0,1,0
597571.53883,0,0,0,1,1,0,1,0
503762.333224,1,0,0,1,0,0,0,0
517133.727829,1,0,0,1,0,0,1,0
591587.059244,1,0,0,1,1,0,0,0
604941.070887,1,0,0,1,1,0,1,0
490104.909888,0,1,0,0,0,0,0,0
567166.948916,0,1,0,0,1,0,0,0
495471.714069,1,1,0,0,0,0,0,0
574536.480973,1,1,0,0,1,0,0,0
513808.10474,0,1,0,1,0,0,0,0
519174.908922,1,1,0,1,0,0,0,0
601543.28217,0,1,0,1,1,0,0,0
608912.814227,1,1,0,1,1,0,0,0
503476.304493,0,1,0,0,0,0,1,0
580519.907046,0,1,0,0,1,0,1,0
527179.499345,0,1,0,1,0,0,1,0
614897.293813,0,1,0,1,1,0,1,0
508843.108674,1,1,0,0,0,0,1,0
532546.303527,1,1,0,1,0,0,1,0
587889.439103,1,1,0,0,1,0,1,0
622266.82587,1,1,0,1,1,0,1,0
504835.652924,0,0,0,0,0,1,0,0
584115.8632,0,0,0,0,1,1,0,0
510202.457106,1,0,0,0,0,1,0,0
591485.395256,1,0,0,0,1,1,0,0
518164.907016,0,0,0,0,0,1,1,0
523531.711198,1,0,0,0,0,1,1,0
597445.117292,0,0,0,0,1,1,1,0
604814.649348,1,0,0,0,1,1,1,0
520099.156558,0,1,0,0,0,1,0,0
601292.546118,0,1,0,0,1,1,0,0
533428.41065,0,1,0,0,0,1,1,0
614621.80021,0,1,0,0,1,1,1,0
525465.96074,1,1,0,0,0,1,0,0
538795.214832,1,1,0,0,0,1,1,0
608662.078175,1,1,0,0,1,1,0,0
621991.332267,1,1,0,0,1,1,1,0
528383.454635,0,0,0,1,0,1,0,0
618337.856825,0,0,0,1,1,1,0,0
533750.258817,1,0,0,1,0,1,0,0
625707.388882,1,0,0,1,1,1,0,0
543802.35141,0,1,0,1,0,1,0,0
549169.155592,1,1,0,1,0,1,0,0
635669.932885,0,1,0,1,1,1,0,0
643039.464942,1,1,0,1,1,1,0,0
541712.708727,0,0,0,1,0,1,1,0
631666.057405,0,0,0,1,1,1,1,0
557131.605502,0,1,0,1,0,1,1,0
648998.133465,0,1,0,1,1,1,1,0
547079.512909,1,0,0,1,0,1,1,0
562498.409684,1,1,0,1,0,1,1,0
