$<obj,$HAVE_SEQUENCE,$HAVE_QUEUE,$HAVE_CRYPTO,$HAVE_REPLICATION,$HAVE_STATISTICS,$HAVE_HASH,$HAVE_VERIFY,$DIAGNOSTIC
1603203.95694,0,0,0,0,0,0,0,0
1856922.81039,0,0,0,0,1,0,0,0
1621321.2456,1,0,0,0,0,0,0,0
1881801.80616,1,0,0,0,1,0,0,0
1648346.73251,0,0,0,0,0,0,1,0
1666464.02117,1,0,0,0,0,0,1,0
1902003.33984,0,0,0,0,1,0,1,0
1926882.33561,1,0,0,0,1,0,1,0
1682704.81238,0,0,0,1,0,0,0,0
1972458.83402,0,0,0,1,1,0,0,0
1727847.58794,0,0,0,1,0,0,1,0
2017542.92039,0,0,0,1,1,0,1,0
1700822.10103,1,0,0,1,0,0,0,0
1745964.8766,1,0,0,1,0,0,1,0
1997337.82979,1,0,0,1,1,0,0,0
2042421.91616,1,0,0,1,1,0,1,0
1654713.62137,0,1,0,0,0,0,0,0
1914891.84364,0,1,0,0,1,0,0,0
1672830.91003,1,1,0,0,0,0,0,0
1939770.8394,1,1,0,0,1,0,0,0
1734739.12268,0,1,0,1,0,0,0,0
1752856.41133,1,1,0,1,0,0,0,0
2030952.51313,0,1,0,1,1,0,0,0
2055831.5089,1,1,0,1,1,0,0,0
1699856.39694,0,1,0,0,0,0,1,0
1959972.37309,0,1,0,0,1,0,1,0
1779881.89824,0,1,0,1,0,0,1,0
2076036.5995,0,1,0,1,1,0,1,0
1717973.6856,1,1,0,0,0,0,1,0
1797999.1869,1,1,0,1,0,0,1,0
1984851.36885,1,1,0,0,1,0,1,0
2100915.59527,1,1,0,1,1,0,1,0
1704448.27138,0,0,0,0,0,1,0,0
1972115.59113,0,0,0,0,1,1,0,0
1722565.56003,1,0,0,0,0,1,0,0
1996994.58689,1,0,0,0,1,1,0,0
1749448.7701,0,0,0,0,0,1,1,0
1767566.05876,1,0,0,0,0,1,1,0
2017116.08985,0,0,0,0,1,1,1,0
2041995.08562,1,0,0,0,1,1,1,0
1755979.27733,0,1,0,0,0,1,0,0
2030105.9659,0,1,0,0,1,1,0,0
1800979.77606,0,1,0,0,0,1,1,0
2075106.46462,0,1,0,0,1,1,1,0
1774096.56599,1,1,0,0,0,1,0,0
1819097.06471,1,1,0,0,0,1,1,0
2054984.96166,1,1,0,0,1,1,0,0
2099985.46039,1,1,0,0,1,1,1,0
1783949.12681,0,0,0,1,0,1,0,0
2087655.17167,0,0,0,1,1,1,0,0
1802066.41547,1,0,0,1,0,1,0,0
2112534.16744,1,0,0,1,1,1,0,0
1836004.77864,0,1,0,1,0,1,0,0
1854122.0673,1,1,0,1,0,1,0,0
2146170.19231,0,1,0,1,1,1,0,0
2171049.18808,1,1,0,1,1,1,0,0
1828949.62553,0,0,0,1,0,1,1,0
2132652.11348,0,0,0,1,1,1,1,0
1881005.27736,0,1,0,1,0,1,1,0
2191167.13411,0,1,0,1,1,1,1,0
1847066.91419,1,0,0,1,0,1,1,0
1899122.56602,1,1,0,1,0,1,1,0
2157531.10924,1,0,0,1,1,1,1,0
2216046.12988,1,1,0,1,1,1,1,0
1620567.17831,0,0,1,0,0,0,0,0
1874286.03177,0,0,1,0,1,0,0,0
1638684.46697,1,0,1,0,0,0,0,0
1899165.02753,1,0,1,0,1,0,0,0
1665709.95388,0,0,1,0,0,0,1,0
1683827.24254,1,0,1,0,0,0,1,0
1919366.56122,0,0,1,0,1,0,1,0
1944245.55698,1,0,1,0,1,0,1,0
1700068.03375,0,0,1,1,0,0,0,0
1989822.05539,0,0,1,1,1,0,0,0
1745210.80932,0,0,1,1,0,0,1,0
2034906.14176,0,0,1,1,1,0,1,0
1718185.32241,1,0,1,1,0,0,0,0
1763328.09797,1,0,1,1,0,0,1,0
2014701.05116,1,0,1,1,1,0,0,0
2059785.13753,1,0,1,1,1,0,1,0
1721811.49275,0,0,1,0,0,1,0,0
1989478.8125,0,0,1,0,1,1,0,0
1739928.78141,1,0,1,0,0,1,0,0
2014357.80827,1,0,1,0,1,1,0,0
1801312.34818,0,0,1,1,0,1,0,0
1819429.63684,1,0,1,1,0,1,0,0
2105018.39305,0,0,1,1,1,1,0,0
2129897.38881,1,0,1,1,1,1,0,0
1766811.99147,0,0,1,0,0,1,1,0
2034479.31122,0,0,1,0,1,1,1,0
1846312.84691,0,0,1,1,0,1,1,0
2150015.33485,0,0,1,1,1,1,1,0
1784929.28013,1,0,1,0,0,1,1,0
1864430.13556,1,0,1,1,0,1,1,0
2059358.30699,1,0,1,0,1,1,1,0
2174894.33061,1,0,1,1,1,1,1,0
1672076.84274,0,1,1,0,0,0,0,0
1932255.06501,0,1,1,0,1,0,0,0
1690194.1314,1,1,1,0,0,0,0,0
1957134.06078,1,1,1,0,1,0,0,0
1717219.61831,0,1,1,0,0,0,1,0
1735336.90697,1,1,1,0,0,0,1,0
1977335.59446,0,1,1,0,1,0,1,0
2002214.59022,1,1,1,0,1,0,1,0
1773342.49871,0,1,1,0,0,1,0,0
2047469.18727,0,1,1,0,1,1,0,0
1818342.99743,0,1,1,0,0,1,1,0
2092469.68599,0,1,1,0,1,1,1,0
1791459.78736,1,1,1,0,0,1,0,0
1836460.28609,1,1,1,0,0,1,1,0
2072348.18304,1,1,1,0,1,1,0,0
2117348.68176,1,1,1,0,1,1,1,0
1752102.34405,0,1,1,1,0,0,0,0
2048315.7345,0,1,1,1,1,0,0,0
1770219.63271,1,1,1,1,0,0,0,0
2073194.73027,1,1,1,1,1,0,0,0
1853368.00001,0,1,1,1,0,1,0,0
1871485.28867,1,1,1,1,0,1,0,0
2163533.41369,0,1,1,1,1,1,0,0
2188412.40945,1,1,1,1,1,1,0,0
1797245.11962,0,1,1,1,0,0,1,0
2093399.82087,0,1,1,1,1,0,1,0
1898368.49873,0,1,1,1,0,1,1,0
2208530.35549,0,1,1,1,1,1,1,0
1815362.40827,1,1,1,1,0,0,1,0
1916485.78739,1,1,1,1,0,1,1,0
2118278.81664,1,1,1,1,1,0,1,0
2233409.35125,1,1,1,1,1,1,1,0
1701656.08827,0,0,0,0,0,0,0,1
1959045.68436,0,0,0,0,1,0,0,1
1720365.6043,1,0,0,0,0,0,0,1
1985078.90104,1,0,0,0,1,0,0,1
1750348.67115,0,0,0,0,0,0,1,1
1769061.7441,1,0,0,0,0,0,1,1
2007679.57803,0,0,0,0,1,0,1,1
2033716.35164,1,0,0,0,1,0,1,1
1864454.7017,0,0,0,1,0,0,0,1
2158377.43494,0,0,0,1,1,0,0,1
1913150.8415,0,0,0,1,0,0,1,1
2207011.32862,0,0,0,1,1,0,1,1
1883167.77465,1,0,0,1,0,0,0,1
1931860.35753,1,0,0,1,0,0,1,1
2184410.65162,1,0,0,1,1,0,0,1
2233048.10222,1,0,0,1,1,0,1,1
1757885.78707,0,1,0,0,0,0,0,1
2021734.75197,0,1,0,0,1,0,0,1
1776598.86002,1,1,0,0,0,0,0,1
2047771.52557,1,1,0,0,1,0,0,1
1923046.19615,0,1,0,1,0,0,0,1
1941755.71218,1,1,0,1,0,0,0,1
2223424.74127,0,1,0,1,1,0,0,1
2249461.51487,1,1,0,1,1,0,0,1
1806581.92687,0,1,0,0,0,0,1,1
2070372.20257,0,1,0,0,1,0,1,1
1971738.77903,0,1,0,1,0,0,1,1
2272062.19187,0,1,0,1,1,0,1,1
1825291.4429,1,1,0,0,0,0,1,1
1990451.85198,1,1,0,1,0,0,1,1
2096405.41925,1,1,0,0,1,0,1,1
2298095.40855,1,1,0,1,1,0,1,1
1720675.05644,0,0,1,0,0,0,0,1
1978064.65252,0,0,1,0,1,0,0,1
1739388.12939,1,0,1,0,0,0,0,1
2004101.42613,1,0,1,0,1,0,0,1
1769371.19624,0,0,1,0,0,0,1,1
1788080.71227,1,0,1,0,0,0,1,1
2026702.10312,0,0,1,0,1,0,1,1
2052735.3198,1,0,1,0,1,0,1,1
1776908.31216,0,1,1,0,0,0,0,1
2040757.27706,0,1,1,0,1,0,0,1
