$<obj,$ DerivativeCompressCRC,$ DerivativeExtractCRC,$ Compress,$ Extract,$ DerivativeGZIPCRC,$ ZipMeTest,$Base,$ Adaptation,$ CRC,$ ArchiveCheck,$ GZIP,$ Adler32Checksum,$ DerivativeCompressGZIP,$ DerivativeCompressAdler32Checksum,$ Check,$ DerivativeCompressGZIPCRC
33696.1139924,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34388.8390581,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
33822.6899976,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
36152.399724,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
33805.3545895,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
34725.8224795,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
36655.9721894,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
34835.0630766,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
34852.3984848,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
33931.9305947,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
34961.6390818,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
36261.6403211,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
36278.9757292,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
36388.2163263,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
37182.1082112,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
37308.6842164,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
37291.3488083,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
37417.9248135,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
36765.2127864,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
37685.6806765,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
37794.9212736,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
36778.7428611,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
37808.4513483,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
36887.9834582,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
37917.6919454,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
39112.257921,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
39221.4985181,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
39235.0285927,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
39344.2691898,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
