$<obj,$Operations,$Eval_Neg,$ToString_Plus,$Neg,$Eval_Plus,$base,$Plus,$Numbers,$Eval,$ToString,$ToString_Numbers,$ToString_Neg,$Eval_Numbers
2156.32660338,1,0,0,0,0,1,0,0,0,0,0,0,0
2281.44080296,1,0,0,0,0,1,1,0,0,0,0,0,0
2259.24819774,1,0,0,0,0,1,0,1,0,0,0,0,0
2264.17988779,1,0,0,1,0,1,0,0,0,0,0,0,0
2977.05546158,1,1,0,1,1,1,1,1,1,0,0,0,1
2058.69280238,1,0,0,0,0,1,0,0,0,1,0,0,0
2156.9156292,1,0,0,0,0,1,0,0,0,0,0,1,0
2042.02091304,1,1,0,0,0,1,0,0,0,0,0,1,0
2042.02091304,1,0,0,0,1,1,0,0,0,0,0,1,0
2042.60993887,1,1,0,0,1,1,0,0,0,0,0,1,0
2282.02982879,1,0,0,0,0,1,1,0,0,0,0,1,0
2042.60993887,1,0,0,0,1,1,1,0,0,0,0,1,0
2042.60993887,1,1,0,0,0,1,1,0,0,0,0,1,0
2043.1989647,1,1,0,0,1,1,1,0,0,0,0,1,0
2264.76891361,1,0,0,1,0,1,0,0,0,0,0,1,0
2042.60993887,1,1,0,1,0,1,0,0,0,0,0,1,0
2149.87419745,1,0,0,1,1,1,0,0,0,0,0,1,0
2043.1989647,1,1,0,1,1,1,0,0,0,0,0,1,0
2389.8831132,1,0,0,1,0,1,1,0,0,0,0,1,0
2150.46322328,1,0,0,1,1,1,1,0,0,0,0,1,0
2043.1989647,1,1,0,1,0,1,1,0,0,0,0,1,0
2043.78799052,1,1,0,1,1,1,1,0,0,0,0,1,0
2259.83722357,1,0,0,0,0,1,0,1,0,0,0,1,0
2042.60993887,1,1,0,0,0,1,0,1,0,0,0,1,0
2144.9425074,1,0,0,0,1,1,0,1,0,0,0,1,0
2043.1989647,1,1,0,0,1,1,0,1,0,0,0,1,0
2367.69050798,1,0,0,1,0,1,0,1,0,0,0,1,0
2252.79579181,1,0,0,1,1,1,0,1,0,0,0,1,0
2043.1989647,1,1,0,1,0,1,0,1,0,0,0,1,0
2043.78799052,1,1,0,1,1,1,0,1,0,0,0,1,0
2384.95142315,1,0,0,0,0,1,1,1,0,0,0,1,0
2043.1989647,1,1,0,0,0,1,1,1,0,0,0,1,0
2145.53153323,1,0,0,0,1,1,1,1,0,0,0,1,0
2043.78799052,1,1,0,0,1,1,1,1,0,0,0,1,0
2492.80470756,1,0,0,1,0,1,1,1,0,0,0,1,0
2253.38481764,1,0,0,1,1,1,1,1,0,0,0,1,0
2043.78799052,1,1,0,1,0,1,1,1,0,0,0,1,0
2044.37701635,1,1,0,1,1,1,1,1,0,0,0,1,0
2059.28182821,1,0,0,0,0,1,0,0,0,1,1,0,0
2059.28182821,1,0,0,0,0,1,0,0,0,1,0,1,0
2059.87085404,1,0,0,0,0,1,0,0,0,1,1,1,0
2059.28182821,1,0,0,0,1,1,0,0,0,1,0,0,0
2059.87085404,1,0,0,0,1,1,0,0,0,1,0,1,0
2059.87085404,1,0,0,0,1,1,0,0,0,1,1,0,0
2060.45987987,1,0,0,0,1,1,0,0,0,1,1,1,0
2059.28182821,1,1,0,0,0,1,0,0,0,1,0,0,0
2059.87085404,1,1,0,0,0,1,0,0,0,1,1,0,0
2059.87085404,1,1,0,0,1,1,0,0,0,1,0,0,0
2060.45987987,1,1,0,0,1,1,0,0,0,1,1,0,0
2059.87085404,1,1,0,0,0,1,0,0,0,1,0,1,0
2060.45987987,1,1,0,0,1,1,0,0,0,1,0,1,0
2060.45987987,1,1,0,0,0,1,0,0,0,1,1,1,0
2061.0489057,1,1,0,0,1,1,0,0,0,1,1,1,0
2059.28182821,1,0,1,0,0,1,0,0,0,1,0,0,0
2059.87085404,1,0,1,0,0,1,0,0,0,1,1,0,0
2059.87085404,1,0,1,0,0,1,0,0,0,1,0,1,0
2060.45987987,1,0,1,0,0,1,0,0,0,1,1,1,0
2059.87085404,1,1,1,0,0,1,0,0,0,1,0,0,0
2060.45987987,1,1,1,0,0,1,0,0,0,1,0,1,0
2060.45987987,1,1,1,0,0,1,0,0,0,1,1,0,0
2061.0489057,1,1,1,0,0,1,0,0,0,1,1,1,0
2059.87085404,1,0,1,0,1,1,0,0,0,1,0,0,0
2060.45987987,1,0,1,0,1,1,0,0,0,1,1,0,0
2060.45987987,1,1,1,0,1,1,0,0,0,1,0,0,0
2061.0489057,1,1,1,0,1,1,0,0,0,1,1,0,0
2060.45987987,1,0,1,0,1,1,0,0,0,1,0,1,0
2061.0489057,1,1,1,0,1,1,0,0,0,1,0,1,0
2061.0489057,1,0,1,0,1,1,0,0,0,1,1,1,0
2061.63793153,1,1,1,0,1,1,0,0,0,1,1,1,0
2183.80700197,1,0,0,0,0,1,1,0,0,1,0,0,0
2184.39602779,1,0,0,0,0,1,1,0,0,1,1,0,0
2184.39602779,1,0,0,0,0,1,1,0,0,1,0,1,0
2184.98505362,1,0,0,0,0,1,1,0,0,1,1,1,0
2059.87085404,1,0,0,0,1,1,1,0,0,1,0,0,0
2060.45987987,1,0,0,0,1,1,1,0,0,1,0,1,0
2060.45987987,1,0,0,0,1,1,1,0,0,1,1,0,0
2061.0489057,1,0,0,0,1,1,1,0,0,1,1,1,0
2184.39602779,1,0,1,0,0,1,1,0,0,1,0,0,0
2184.98505362,1,0,1,0,0,1,1,0,0,1,1,0,0
2060.45987987,1,0,1,0,1,1,1,0,0,1,0,0,0
2061.0489057,1,0,1,0,1,1,1,0,0,1,1,0,0
2184.98505362,1,0,1,0,0,1,1,0,0,1,0,1,0
2061.0489057,1,0,1,0,1,1,1,0,0,1,0,1,0
2185.57407945,1,0,1,0,0,1,1,0,0,1,1,1,0
2061.63793153,1,0,1,0,1,1,1,0,0,1,1,1,0
2059.87085404,1,1,0,0,0,1,1,0,0,1,0,0,0
2060.45987987,1,1,0,0,0,1,1,0,0,1,1,0,0
2060.45987987,1,1,0,0,0,1,1,0,0,1,0,1,0
2061.0489057,1,1,0,0,0,1,1,0,0,1,1,1,0
2060.45987987,1,1,1,0,0,1,1,0,0,1,0,0,0
2061.0489057,1,1,1,0,0,1,1,0,0,1,0,1,0
2061.0489057,1,1,1,0,0,1,1,0,0,1,1,0,0
2061.63793153,1,1,1,0,0,1,1,0,0,1,1,1,0
2060.45987987,1,1,0,0,1,1,1,0,0,1,0,0,0
2061.0489057,1,1,0,0,1,1,1,0,0,1,1,0,0
2061.0489057,1,1,1,0,1,1,1,0,0,1,0,0,0
2061.63793153,1,1,1,0,1,1,1,0,0,1,1,0,0
2061.0489057,1,1,0,0,1,1,1,0,0,1,0,1,0
2061.63793153,1,1,1,0,1,1,1,0,0,1,0,1,0
2061.63793153,1,1,0,0,1,1,1,0,0,1,1,1,0
2062.22695736,1,1,1,0,1,1,1,0,0,1,1,1,0
2161.61439674,1,0,0,0,0,1,0,1,0,1,0,0,0
2162.20342257,1,0,0,0,0,1,0,1,0,1,1,0,0
2162.20342257,1,0,0,0,0,1,0,1,0,1,0,1,0
2162.7924484,1,0,0,0,0,1,0,1,0,1,1,1,0
2162.20342257,1,0,0,0,1,1,0,1,0,1,0,0,0
2162.7924484,1,0,0,0,1,1,0,1,0,1,0,1,0
2162.7924484,1,0,0,0,1,1,0,1,0,1,1,0,0
2163.38147423,1,0,0,0,1,1,0,1,0,1,1,1,0
2059.87085404,1,1,0,0,0,1,0,1,0,1,0,0,0
2060.45987987,1,1,0,0,0,1,0,1,0,1,1,0,0
2060.45987987,1,1,0,0,1,1,0,1,0,1,0,0,0
