$<obj,$Base,$ForwardIterator,$AbstractIterator,$BackwardIterator,$MemorySize,$QuickSort,$InsertionSort,$BubbleSort,$ElementA,$ElementB,$ElementC,$AbstractElement,$MergeSort,$Measurement,$print,$Performance,$AbstractSort,$TCP_IP
1191.85287126,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1311.51131258,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1193.46361933,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1313.12206066,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1193.46361933,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1313.12206066,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1191.85287126,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1311.51131258,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1225.14166475,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1344.80010608,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1226.75241283,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1346.41085415,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1391.70642614,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1503.04266909,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
1393.31717421,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1504.65341716,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
1393.31717421,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1504.65341716,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0
1391.70642614,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1503.04266909,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
1424.99521963,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1536.33146258,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
1426.6059677,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1537.94221066,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
1344.99473204,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1456.33097499,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0
1346.60548011,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1457.94172307,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
1379.89427361,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1491.23051656,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
1378.28352554,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1489.61976849,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
1344.99473204,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1456.33097499,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
1346.60548011,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1457.94172307,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
1405.12932674,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1516.46556969,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
1403.51857867,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1514.85482162,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
1403.51857867,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1514.85482162,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
1405.12932674,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1516.46556969,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
1438.41812023,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1549.75436319,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1436.80737216,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1548.14361511,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1463.38471535,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
