$<obj,$no_host_directories,$verbose,$no_clobber,$save_headers,$verbosity,$output_file,$quiet,$strict_comments,$no_http_keep_alive,$no_dns_cache,$base,$server_response,$no_verbose,$no_cookies,$convert_links,$no_directories
5634.13898241,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5817.54416348,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
5810.68789503,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
5824.97191516,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
5639.85266697,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5629.5682643,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5636.42453275,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
5639.85266697,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5807.83124403,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5835.25631783,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
5797.54684135,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5800.97497558,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6013.51929757,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5634.71046563,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
5808.97344537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5819.82971382,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
5824.97191516,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
5821.54378093,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
5617.56979451,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
5795.83277424,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
5824.97191516,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
5811.25937826,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
5823.25784804,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
6073.51164652,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
