$<obj,$HAVE_SEQUENCE,$HAVE_QUEUE,$HAVE_CRYPTO,$HAVE_REPLICATION,$HAVE_STATISTICS,$HAVE_HASH,$HAVE_VERIFY,$DIAGNOSTIC
1243754.92288,0,0,0,0,0,0,0,0
1440588.53915,0,0,0,0,1,0,0,0
1257810.41863,1,0,0,0,0,0,0,0
1459889.72212,1,0,0,0,1,0,0,0
1278776.61089,0,0,0,0,0,0,1,0
1292832.10664,1,0,0,0,0,0,1,0
1475561.93703,0,0,0,0,1,0,1,0
1494863.12,1,0,0,0,1,0,1,0
1305431.37979,0,0,0,1,0,0,0,0
1530220.83888,0,0,0,1,1,0,0,0
1340453.0678,0,0,0,1,0,0,1,0
1565196.9962,0,0,0,1,1,0,1,0
1319486.87554,1,0,0,1,0,0,0,0
1354508.56355,1,0,0,1,0,0,1,0
1549522.02185,1,0,0,1,1,0,0,0
1584498.17917,1,0,0,1,1,0,1,0
1283716.00075,0,1,0,0,0,0,0,0
1485560.7522,0,1,0,0,1,0,0,0
1297771.4965,1,1,0,0,0,0,0,0
1504861.93517,1,1,0,0,1,0,0,0
1345799.47442,0,1,0,1,0,0,0,0
1359854.97017,1,1,0,1,0,0,0,0
1575600.0687,0,1,0,1,1,0,0,0
1594901.25167,1,1,0,1,1,0,0,0
1318737.68876,0,1,0,0,0,0,1,0
1520534.15009,0,1,0,0,1,0,1,0
1380821.16243,0,1,0,1,0,0,1,0
1610576.22602,0,1,0,1,1,0,1,0
1332793.18451,1,1,0,0,0,0,1,0
1394876.65818,1,1,0,1,0,0,1,0
1539835.33306,1,1,0,0,1,0,1,0
1629877.40899,1,1,0,1,1,0,1,0
1322299.81007,0,0,0,0,0,1,0,0
1529954.55334,0,0,0,0,1,1,0,0
1336355.30582,1,0,0,0,0,1,0,0
1549255.73631,1,0,0,0,1,1,0,0
1357211.12066,0,0,0,0,0,1,1,0
1371266.61641,1,0,0,0,0,1,1,0
1564865.86392,0,0,0,0,1,1,1,0
1584167.04689,1,0,0,0,1,1,1,0
1362277.44455,0,1,0,0,0,1,0,0
1574943.32301,0,1,0,0,1,1,0,0
1397188.75514,0,1,0,0,0,1,1,0
1609854.63359,0,1,0,0,1,1,1,0
1376332.94031,1,1,0,0,0,1,0,0
1411244.25089,1,1,0,0,0,1,1,0
1594244.50598,1,1,0,0,1,1,0,0
1629155.81656,1,1,0,0,1,1,1,0
1383976.26698,0,0,0,1,0,1,0,0
1619589.61251,0,0,0,1,1,1,0,0
1398031.76274,1,0,0,1,0,1,0,0
1638890.79548,1,0,0,1,1,1,0,0
1424360.91823,0,1,0,1,0,1,0,0
1438416.41398,1,1,0,1,0,1,0,0
1664985.39894,0,1,0,1,1,1,0,0
1684286.58191,1,1,0,1,1,1,0,0
1418887.57757,0,0,0,1,0,1,1,0
1654498.16366,0,0,0,1,1,1,1,0
1459272.22881,0,1,0,1,0,1,1,0
1699893.95009,0,1,0,1,1,1,1,0
1432943.07332,1,0,0,1,0,1,1,0
1473327.72456,1,1,0,1,0,1,1,0
1673799.34663,1,0,0,1,1,1,1,0
1719195.13306,1,1,0,1,1,1,1,0
1257225.41827,0,0,1,0,0,0,0,0
1454059.03454,0,0,1,0,1,0,0,0
1271280.91402,1,0,1,0,0,0,0,0
1473360.21751,1,0,1,0,1,0,0,0
1292247.10628,0,0,1,0,0,0,1,0
1306302.60203,1,0,1,0,0,0,1,0
1489032.43242,0,0,1,0,1,0,1,0
1508333.61539,1,0,1,0,1,0,1,0
1318901.87518,0,0,1,1,0,0,0,0
1543691.33427,0,0,1,1,1,0,0,0
1353923.56319,0,0,1,1,0,0,1,0
1578667.49159,0,0,1,1,1,0,1,0
1332957.37093,1,0,1,1,0,0,0,0
1367979.05894,1,0,1,1,0,0,1,0
1562992.51724,1,0,1,1,1,0,0,0
1597968.67456,1,0,1,1,1,0,1,0
1335770.30546,0,0,1,0,0,1,0,0
1543425.04873,0,0,1,0,1,1,0,0
1349825.80121,1,0,1,0,0,1,0,0
1562726.2317,1,0,1,0,1,1,0,0
1397446.76237,0,0,1,1,0,1,0,0
1411502.25812,1,0,1,1,0,1,0,0
1633060.1079,0,0,1,1,1,1,0,0
1652361.29087,1,0,1,1,1,1,0,0
1370681.61604,0,0,1,0,0,1,1,0
1578336.35931,0,0,1,0,1,1,1,0
1432358.07296,0,0,1,1,0,1,1,0
1667968.65904,0,0,1,1,1,1,1,0
1384737.1118,1,0,1,0,0,1,1,0
1446413.56871,1,0,1,1,0,1,1,0
1597637.54228,1,0,1,0,1,1,1,0
1687269.84201,1,0,1,1,1,1,1,0
1297186.49614,0,1,1,0,0,0,0,0
1499031.24759,0,1,1,0,1,0,0,0
