$<obj,$ DerivativeCompressCRC,$ DerivativeExtractCRC,$ Compress,$ Extract,$ DerivativeGZIPCRC,$ ZipMeTest,$Base,$ Adaptation,$ CRC,$ ArchiveCheck,$ GZIP,$ Adler32Checksum,$ DerivativeCompressGZIP,$ DerivativeCompressAdler32Checksum,$ Check,$ DerivativeCompressGZIPCRC
20163.9554543,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20578.8713675,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
20240.0978909,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
21634.1545423,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
20229.7246926,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
20780.5162226,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
21935.4833031,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
20846.2854608,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
20856.6586591,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
20305.8671291,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
20922.4278974,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
21699.9237806,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
21710.2969789,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
21776.0662171,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
22250.7153106,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
22326.8577471,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
22316.4845488,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
22392.6269854,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
22001.2525414,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
22552.0440713,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
22617.8133096,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
22009.3486961,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
22625.9094644,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
22075.1179344,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
22691.6787026,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
23405.6823911,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
23471.4516294,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
23479.5477841,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
23545.3170224,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
24022.2431593,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
24096.1085524,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0
24088.0123976,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
24161.8777906,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
20655.0138041,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
20644.6406058,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
20720.7830423,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
21195.4321358,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
21261.201374,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
21271.5745723,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
21337.3438106,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0
22279.0518523,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
22355.1942889,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
22895.6126205,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
22971.7550571,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
