$<obj,$HAVE_SEQUENCE,$HAVE_QUEUE,$HAVE_CRYPTO,$HAVE_REPLICATION,$HAVE_STATISTICS,$HAVE_HASH,$HAVE_VERIFY,$DIAGNOSTIC
1438100.44053,0,0,0,0,0,0,0,0
1665690.54748,0,0,0,0,1,0,0,0
1454352.05081,1,0,0,0,0,0,0,0
1688007.52077,1,0,0,0,1,0,0,0
1478594.35913,0,0,0,0,0,0,1,0
1494845.96941,1,0,0,0,0,0,1,0
1706128.63029,0,0,0,0,1,0,1,0
1728445.60357,1,0,0,0,1,0,1,0
1509414.1245,0,0,0,1,0,0,0,0
1769328.37276,0,0,0,1,1,0,0,0
1549908.0431,0,0,0,1,0,0,1,0
1809769.64618,0,0,0,1,1,0,1,0
1525665.73478,1,0,0,1,0,0,0,0
1566159.65338,1,0,0,1,0,0,1,0
1791645.34604,1,0,0,1,1,0,0,0
1832086.61946,1,0,0,1,1,0,1,0
1484305.56365,0,1,0,0,0,0,0,0
1717689.83116,0,1,0,0,1,0,0,0
1500557.17392,1,1,0,0,0,0,0,0
1740006.80444,1,1,0,0,1,0,0,0
1556089.86363,0,1,0,1,0,0,0,0
1572341.47391,1,1,0,1,0,0,0,0
1821798.27245,0,1,0,1,1,0,0,0
1844115.24573,1,1,0,1,1,0,0,0
1524799.48225,0,1,0,0,0,0,1,0
1758127.91396,0,1,0,0,1,0,1,0
1596583.78224,0,1,0,1,0,0,1,0
1862239.54587,0,1,0,1,1,0,1,0
1541051.09253,1,1,0,0,0,0,1,0
1612835.39251,1,1,0,1,0,0,1,0
1780444.88724,1,1,0,0,1,0,1,0
1884556.51915,1,1,0,1,1,0,1,0
1528918.36651,0,0,0,0,0,1,0,0
1769020.47822,0,0,0,0,1,1,0,0
1545169.97679,1,0,0,0,0,1,0,0
1791337.4515,1,0,0,0,1,1,0,0
1569284.66043,0,0,0,0,0,1,1,0
1585536.27071,1,0,0,0,0,1,1,0
1809386.77214,0,0,0,0,1,1,1,0
1831703.74542,1,0,0,0,1,1,1,0
1575142.63333,0,1,0,0,0,1,0,0
1821038.90559,0,1,0,0,1,1,0,0
1615508.92725,0,1,0,0,0,1,1,0
1861405.19951,0,1,0,0,1,1,1,0
1591394.24361,1,1,0,0,0,1,0,0
1631760.53753,1,1,0,0,0,1,1,0
1843355.87888,1,1,0,0,1,1,0,0
1883722.1728,1,1,0,0,1,1,1,0
1600232.05048,0,0,0,1,0,1,0,0
1872661.49411,0,0,0,1,1,1,0,0
1616483.66076,1,0,0,1,0,1,0,0
1894978.46739,1,0,0,1,1,1,0,0
1646926.93332,0,1,0,1,0,1,0,0
1663178.54359,1,1,0,1,0,1,0,0
1925150.5375,0,1,0,1,1,1,0,0
1947467.51079,1,1,0,1,1,1,0,0
1640598.3444,0,0,0,1,0,1,1,0
1913024.59741,0,0,0,1,1,1,1,0
1687293.22724,0,1,0,1,0,1,1,0
1965513.64081,0,1,0,1,1,1,1,0
1656849.95468,1,0,0,1,0,1,1,0
1703544.83751,1,1,0,1,0,1,1,0
1935341.5707,1,0,0,1,1,1,1,0
1987830.61409,1,1,0,1,1,1,1,0
1453675.63999,0,0,1,0,0,0,0,0
1681265.74694,0,0,1,0,1,0,0,0
1469927.25027,1,0,1,0,0,0,0,0
1703582.72023,1,0,1,0,1,0,0,0
1494169.55859,0,0,1,0,0,0,1,0
1510421.16887,1,0,1,0,0,0,1,0
1721703.82975,0,0,1,0,1,0,1,0
1744020.80303,1,0,1,0,1,0,1,0
1524989.32396,0,0,1,1,0,0,0,0
1784903.57222,0,0,1,1,1,0,0,0
1565483.24257,0,0,1,1,0,0,1,0
1825344.84564,0,0,1,1,1,0,1,0
1541240.93424,1,0,1,1,0,0,0,0
1581734.85284,1,0,1,1,0,0,1,0
1807220.54551,1,0,1,1,1,0,0,0
1847661.81893,1,0,1,1,1,0,1,0
1544493.56597,0,0,1,0,0,1,0,0
1784595.67768,0,0,1,0,1,1,0,0
1560745.17625,1,0,1,0,0,1,0,0
1806912.65096,1,0,1,0,1,1,0,0
1615807.24995,0,0,1,1,0,1,0,0
1632058.86022,1,0,1,1,0,1,0,0
1888236.69357,0,0,1,1,1,1,0,0
1910553.66686,1,0,1,1,1,1,0,0
1584859.85989,0,0,1,0,0,1,1,0
1824961.9716,0,0,1,0,1,1,1,0
1656173.54387,0,0,1,1,0,1,1,0
1928599.79688,0,0,1,1,1,1,1,0
1601111.47017,1,0,1,0,0,1,1,0
1672425.15414,1,0,1,1,0,1,1,0
1847278.94488,1,0,1,0,1,1,1,0
1950916.77016,1,0,1,1,1,1,1,0
1499880.76311,0,1,1,0,0,0,0,0
1733265.03062,0,1,1,0,1,0,0,0
1516132.37339,1,1,1,0,0,0,0,0
1755582.0039,1,1,1,0,1,0,0,0
1540374.68171,0,1,1,0,0,0,1,0
1556626.29199,1,1,1,0,0,0,1,0
1773703.11342,0,1,1,0,1,0,1,0
1796020.08671,1,1,1,0,1,0,1,0
1590717.83279,0,1,1,0,0,1,0,0
1836614.10506,0,1,1,0,1,1,0,0
1631084.12671,0,1,1,0,0,1,1,0
1876980.39898,0,1,1,0,1,1,1,0
1606969.44307,1,1,1,0,0,1,0,0
1647335.73699,1,1,1,0,0,1,1,0
1858931.07834,1,1,1,0,1,1,0,0
1899297.37226,1,1,1,0,1,1,1,0
1571665.0631,0,1,1,1,0,0,0,0
1837373.47191,0,1,1,1,1,0,0,0
1587916.67337,1,1,1,1,0,0,0,0
1859690.4452,1,1,1,1,1,0,0,0
1662502.13278,0,1,1,1,0,1,0,0
1678753.74306,1,1,1,1,0,1,0,0
1940725.73697,0,1,1,1,1,1,0,0
1963042.71025,1,1,1,1,1,1,0,0
