$<obj,$InterTypeFields,$InterTypeConstructors,$AspectConstructors,$InterfaceMethods,$Advice,$ClassFields,$CodeFormatter,$AspectFields,$InterfaceFields,$InterTypeMethods,$Classes,$ClassMethods,$AspectMethods,$Interfaces,$ClassConstructors,$Pointcuts
4880.37855953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4813.55018181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4857.54956365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4847.06743726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4905.11454141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4884.0582909,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4938.27131786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4878.0497627,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4903.5796114,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4957.8846361,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4883.02762499,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4954.34970609,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4879.93562725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4978.23048933,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4908.55747369,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4899.86921412,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4856.43644447,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5061.71442818,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4903.61027731,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4882.96629317,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4955.1435729,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4895.12815093,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4913.88627052,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4924.57453009,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
4900.54894549,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4908.38200642,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4880.14176044,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4884.23375817,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4919.45186644,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4872.72096587,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4957.82330427,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5000.49287302,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4922.74999736,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
5047.28510542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4865.23883948,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4865.85723903,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4828.31033393,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4871.0412345,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
