$<obj,$CS16MB,$CS32MB,$HAVE_SEQUENCE,$HAVE_CRYPTO,$PAGESIZE,$PS1K,$HAVE_REPLICATION,$CS64MB,$DIAGNOSTIC,$HAVE_HASH,$PS4K,$CS512MB,$PS16K,$CACHESIZE,$HAVE_VERIFY,$PS32K,$HAVE_STATISTICS,$PS8K
1618.02737444,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1643.98621721,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
1699.49429939,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
1584.09425495,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
1683.52002266,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
1614.44040757,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0
1699.09498534,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
1609.6503539,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
1707.08126627,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
1707.4822952,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
1630.4146843,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0
1615.24246543,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
1663.15500631,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1608.84829604,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1606.85344069,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0
1675.93477067,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
1618.83457696,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0
1739.02638996,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
1751.00752623,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0
1624.82428765,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
1656.37181218,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
1670.34437402,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
1618.83457696,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
1746.61507172,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0
1679.52859708,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
1648.7848453,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
1670.34608891,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
1763.38797654,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
1625.22531658,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
1672.34608891,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
1579.29391197,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1607.64692413,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1578.49699876,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
1613.6383497,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
1594.86887465,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
1634.80542392,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
1574.50557318,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1612.83972161,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
1621.22703147,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1590.47642014,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
1636.79856438,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
1602.45755641,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1
1631.20988262,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1
1554.93918492,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
1591.27847801,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1613.64006459,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
1683.12413838,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
1629.61434132,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1609.64349436,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
1626.81571323,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1
1605.65206878,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1
1652.77284111,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
1616.43354803,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
1618.83114719,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1
1679.5268822,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1
1658.76426669,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1
1612.83972161,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1
1671.14128723,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
