$<obj,$CS16MB,$CS32MB,$HAVE_SEQUENCE,$HAVE_CRYPTO,$PAGESIZE,$PS1K,$HAVE_REPLICATION,$CS64MB,$DIAGNOSTIC,$HAVE_HASH,$PS4K,$CS512MB,$PS16K,$CACHESIZE,$HAVE_VERIFY,$PS32K,$HAVE_STATISTICS,$PS8K
849.310779875,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
863.858688532,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
893.8823512,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
833.920428307,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
885.039908289,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
849.337275466,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0
893.673219389,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0
847.304864208,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
897.855855608,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
898.542157891,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
858.179718377,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0
850.709880034,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
874.37418593,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
845.93225964,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
845.363771058,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0
881.543574353,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
852.11489586,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0
914.586400484,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
921.337525285,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0
855.251873024,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
872.250456562,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
878.615729,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0
852.11489586,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
919.037075365,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0
883.425760652,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
868.276952154,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
879.092899473,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
928.297781897,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
855.938175307,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0
881.092899473,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0
829.024994212,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
844.350523262,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
829.083901063,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
847.964670899,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1
837.658305312,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
860.002997825,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0
827.469753426,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
847.546407277,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
852.41534578,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
835.357855391,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
860.094315935,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
842.108980193,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1
857.643641054,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1
817.222294689,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
836.730459959,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
848.441841372,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
885.785117423,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
857.284284283,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
845.396182317,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
854.866020661,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1
