$<obj,$disableCompressibilityTesting,$compression,$level,$encryption,$compressionGzip,$unlimitedWindowSize,$compressionBzip2,$level1,$level2,$level3,$level4,$compressionLrzip,$level6,$level7,$level8,$level9,$compressionLzo,$compressionZpaq,$level5
61787.7497918,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
62246.1827545,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
83925.6254424,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
100497.237636,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
100736.80583,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
113771.090131,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
314177.278001,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
348953.115262,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
244684.756119,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
61625.0800308,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
63065.4468233,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
65969.8414645,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
69468.7201411,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
70015.8820644,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
73630.1083897,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
76155.9261326,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
77915.717183,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78669.9133474,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22619.8289847,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23770.3478394,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25938.2921082,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27535.4133977,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31380.3350204,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37993.6002114,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43305.5073147,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55597.4259793,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58670.4056454,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14944.7738994,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14971.3925875,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13457.0849946,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14214.2387911,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14746.6125542,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14915.1975792,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15696.0124318,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15820.2329765,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15234.6218371,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
199137.22305,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
201027.149909,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
199388.621772,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
670690.241385,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
670004.070757,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
669980.409701,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
672896.63487,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1705349.77715,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1703332.67212,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12172.0642254,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12361.3526745,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12512.1919074,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12920.3451258,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12884.8535416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
